@relation intest2



@attribute CrimeType {BATTERY,NARCOTICS,'OTHER OFFENSE','CRIMINAL DAMAGE','WEAPONS VIOLATION',THEFT,'PUBLIC PEACE VIOLATION',ROBBERY,'INTERFERENCE WITH PUBLIC OFFICER',GAMBLING,'CRIMINAL TRESPASS',ASSAULT,'MOTOR VEHICLE THEFT',PROSTITUTION,'OFFENSE INVOLVING CHILDREN','DECEPTIVE PRACTICE','LIQUOR LAW VIOLATION'}

@attribute Description {'DOMESTIC BATTERY SIMPLE','POSS: HEROIN(BRN/TAN)','POSS: CANNABIS 30GMS OR LESS','VIOLATE ORDER OF PROTECTION',SIMPLE,'TO PROPERTY','POSS: CANNABIS MORE THAN 30GMS','UNLAWFUL POSS OF HANDGUN','PAROLE VIOLATION','POSS: HEROIN(WHITE)','POSS: CRACK','RETAIL THEFT','MANU/DEL:CANNABIS 10GM OR LESS','SOLICIT NARCOTICS ON PUBLICWAY','RECKLESS CONDUCT','ARMED: HANDGUN','OBSTRUCTING IDENTIFICATION','MANU/DEL:CANNABIS OVER 10 GMS',GAME/DICE,'POSS: BARBITUATES','ALTER/FORGE PRESCRIPTION','TO LAND','STRONGARM - NO WEAPON','POSSESSION OF DRUG EQUIPMENT','$500 AND UNDER','THEFT/RECOVERY: AUTOMOBILE','TO VEHICLE','FALSE/STOLEN/ALTERED TRP','PRO EMP HANDS NO/MIN INJURY','MANU/DELIVER: HEROIN (WHITE)',AUTOMOBILE,MANU/DELIVER:CRACK,'LICENSE VIOLATION','UNLAWFUL USE/SALE AIR RIFLE','AGGRAVATED: HANDGUN','TO RESIDENCE','FOUND SUSPECT NARCOTICS','POSS: PCP','SOLICIT FOR PROSTITUTE','VEHICULAR HIJACKING','POSS: COCAINE','POSS: LOOK-ALIKE DRUGS','ATTEMPT: STRONGARM-NO WEAPON','OBSTRUCTING JUSTICE','ENDANGERING LIFE/HEALTH CHILD','VEHICLE TITLE/REG OFFENSE','CRIMINAL DEFACEMENT','THEFT OF LOST/MISLAID PROP','TO STATE SUP LAND','AGGRAVATED:KNIFE/CUTTING INSTR','OVER $500','OTHER VIOLATION','GUN OFFENDER: ANNUAL REGISTRATION','ATTEMPT THEFT','VIOLATION OF CIVIL NO CONTACT ORDER','HARASSMENT BY TELEPHONE',FORGERY,'AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON','AGG PRO.EMP: OTHER DANG WEAPON','LIQUOR LICENSE VIOLATION','AGGRAVATED: OTHER DANG WEAPON','THEFT OF LABOR/SERVICES','POSS: SYNTHETIC DRUGS','POSS: HALLUCINOGENS','UNLAWFUL USE OF RECORDED SOUND','AGG PO HANDS NO/MIN INJURY','UNLAWFUL USE HANDGUN'}

@attribute Location {APARTMENT,'RESIDENCE PORCH/HALLWAY','SCHOOL, PRIVATE, BUILDING',RESIDENCE,STREET,SIDEWALK,ALLEY,'DEPARTMENT STORE','SMALL RETAIL STORE','SCHOOL, PUBLIC, GROUNDS','VEHICLE NON-COMMERCIAL',OTHER,'VACANT LOT/LAND','GAS STATION','PARKING LOT/GARAGE(NON.RESID.)','RESIDENTIAL YARD (FRONT/BACK)','GROCERY FOOD STORE','CTA BUS','DRUG STORE','CHA PARKING LOT/GROUNDS','SCHOOL, PUBLIC, BUILDING',RESTAURANT,RESIDENCE-GARAGE,'PARK PROPERTY','NURSING HOME/RETIREMENT HOME','ABANDONED BUILDING','JAIL / LOCK-UP FACILITY','BAR OR TAVERN','HOSPITAL BUILDING/GROUNDS','CHA HALLWAY/STAIRWELL/ELEVATOR','CTA BUS STOP',HOTEL/MOTEL,'OTHER RAILROAD PROP / TRAIN DEPOT','SPORTS ARENA/STADIUM','TAVERN/LIQUOR STORE','OTHER COMMERCIAL TRANSPORTATION','CTA PLATFORM','AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA','CTA TRAIN','COMMERCIAL / BUSINESS OFFICE','CONVENIENCE STORE','CTA STATION'}

@attribute Latitude numeric

@attribute Longitude numeric



@data
'OTHER OFFENSE','PAROLE VIOLATION',STREET,41.948907,-87.626843 
THEFT,'RETAIL THEFT','DRUG STORE',41.881581,-87.687808 
'OTHER OFFENSE','PAROLE VIOLATION',STREET,41.876372,-87.595413 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.83047,-87.685348 
NARCOTICS,'FOUND SUSPECT NARCOTICS',STREET,41.97147,-87.615248 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.752745,-87.657118 
'OTHER OFFENSE','VEHICLE TITLE/REG OFFENSE',STREET,41.774476,-87.618015
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION',SIDEWALK,41.853672,-87.693651 
NARCOTICS,'POSS: CANNABIS MORE THAN 30GMS','OTHER COMMERCIAL TRANSPORTATION',41.84284,-87.658583 
THEFT,'RETAIL THEFT','GROCERY FOOD STORE',41.817142,-87.735776 
THEFT,'$500 AND UNDER','GROCERY FOOD STORE',41.890008,-87.711656 
'CRIMINAL TRESPASS','TO LAND','GAS STATION',41.807145,-87.635929 
THEFT,'ATTEMPT THEFT','CTA PLATFORM',41.777277,-87.653105 
'OTHER OFFENSE','VIOLATE ORDER OF PROTECTION',RESIDENCE,41.889293,-87.671527 
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.893607,-87.659626 
'CRIMINAL DAMAGE','TO PROPERTY',APARTMENT,41.873454,-87.709851
'OTHER OFFENSE','VIOLATION OF CIVIL NO CONTACT ORDER',RESIDENCE,41.837604,-87.648737 
NARCOTICS,'POSS: HEROIN(WHITE)',SIDEWALK,41.84781,-87.683159
'OTHER OFFENSE','HARASSMENT BY TELEPHONE',APARTMENT,41.756695,-87.619815 
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN','PARKING LOT/GARAGE(NON.RESID.)',41.859931,-87.600642 
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.875436,-87.769273 
NARCOTICS,'POSS: HEROIN(WHITE)',ALLEY,41.949137,-87.641755 
THEFT,'RETAIL THEFT','SMALL RETAIL STORE',41.82564,-87.677591 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.911198,-87.719022 
THEFT,'RETAIL THEFT','SMALL RETAIL STORE',41.789558,-87.680734 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.78809,-87.633808 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.749223,-87.661939 
NARCOTICS,'POSS: CANNABIS MORE THAN 30GMS','RESIDENTIAL YARD (FRONT/BACK)',41.822336,-87.60924 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',ALLEY,41.939356,-87.634442 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',ALLEY,41.873864,-87.61055 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.88059,-87.680784 
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.803663,-87.595144 
NARCOTICS,'MANU/DEL:CANNABIS 10GM OR LESS','RESIDENCE PORCH/HALLWAY',41.856718,-87.688958 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.831992,-87.671103 
ASSAULT,SIMPLE,APARTMENT,41.895347,-87.705048
'CRIMINAL TRESPASS','TO LAND',STREET,41.82524,-87.565428 
'OTHER OFFENSE','VIOLATE ORDER OF PROTECTION',ALLEY,41.97474,-87.653083 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.8830,-87.718914 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',ALLEY,41.857594,-87.577659 
NARCOTICS,'POSS: HEROIN(WHITE)',SIDEWALK,41.867529,-87.697107 
BATTERY,SIMPLE,'CTA PLATFORM',41.81037,-87.73546 
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.941129,-87.664724
NARCOTICS,'SOLICIT NARCOTICS ON PUBLICWAY',STREET,41.934819,-87.672159 
'OTHER OFFENSE','VEHICLE TITLE/REG OFFENSE','VEHICLE NON-COMMERCIAL',41.847835,-87.614907 
'DECEPTIVE PRACTICE',FORGERY,'DRUG STORE',42.056892,-87.666223 
NARCOTICS,'MANU/DELIVER: HEROIN (WHITE)',STREET,41.894559,-87.6451 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.9172905,-87.710312 
'MOTOR VEHICLE THEFT',AUTOMOBILE,'PARKING LOT/GARAGE(NON.RESID.)',41.876104,-87.694198 
NARCOTICS,'POSS: HEROIN(WHITE)','RESIDENCE PORCH/HALLWAY',41.878043,-87.704887 
BATTERY,'AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON',APARTMENT,41.807835,-87.675515 
NARCOTICS,'FOUND SUSPECT NARCOTICS',HOTEL/MOTEL,41.870471,-87.618103 
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION',STREET,41.85714,-87.632124 
NARCOTICS,'MANU/DELIVER: HEROIN (WHITE)',SIDEWALK,41.856077,-87.675554 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.9471,-87.700383 
NARCOTICS,'MANU/DELIVER: HEROIN (WHITE)','VEHICLE NON-COMMERCIAL',41.910345,-87.644873 
'OTHER OFFENSE','VIOLATE ORDER OF PROTECTION','PARKING LOT/GARAGE(NON.RESID.)',41.894946,-87.600893 
BATTERY,'DOMESTIC BATTERY SIMPLE',STREET,41.87796,-87.648676 
'CRIMINAL TRESPASS','TO STATE SUP LAND','AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA',41.979006,-87.745463 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.872861,-87.695358 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.91219,-87.704959 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.810368,-87.649074 
BATTERY,'AGG PRO.EMP: OTHER DANG WEAPON','BAR OR TAVERN',41.801936,-87.738088 
'LIQUOR LAW VIOLATION','LIQUOR LICENSE VIOLATION','BAR OR TAVERN',41.765825,-87.687183 
BATTERY,'AGGRAVATED:KNIFE/CUTTING INSTR','CTA TRAIN',41.691918,-87.792289 
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION',STREET,41.837353,-87.603584 
BATTERY,SIMPLE,STREET,41.985404,-87.6358
BATTERY,SIMPLE,SIDEWALK,41.788509,-87.715004 
'CRIMINAL DAMAGE','TO VEHICLE','PARKING LOT/GARAGE(NON.RESID.)',41.887661,-87.700123
BATTERY,'DOMESTIC BATTERY SIMPLE',STREET,41.889496,-87.645814 
ASSAULT,'AGGRAVATED:KNIFE/CUTTING INSTR',APARTMENT,41.770877,-87.66932 
BATTERY,SIMPLE,SIDEWALK,41.824715,-87.716606 
BATTERY,'DOMESTIC BATTERY SIMPLE','BAR OR TAVERN',41.899271,-87.737612 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,42.867818,-87.702097 
'LIQUOR LAW VIOLATION','LIQUOR LICENSE VIOLATION','TAVERN/LIQUOR STORE',41.750922,-87.69792 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.888557,-87.674435 
ASSAULT,'AGGRAVATED: OTHER DANG WEAPON',ALLEY,41.834197,-87.65405 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.97412,-87.677268 
ASSAULT,'AGGRAVATED: OTHER DANG WEAPON',SIDEWALK,41.812439,-87.697346 
BATTERY,SIMPLE,RESTAURANT,41.803972,-87.632875 
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION','VEHICLE NON-COMMERCIAL',41.985658,-87.692298 
'DECEPTIVE PRACTICE','THEFT OF LABOR/SERVICES',STREET,41.853531,-87.707779 
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN',SIDEWALK,41.905187,-87.645014 
'CRIMINAL DAMAGE','CRIMINAL DEFACEMENT','PARKING LOT/GARAGE(NON.RESID.)',41.892687,-87.653922 
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.9162,-87.655124 
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN','COMMERCIAL / BUSINESS OFFICE',41.865576,-87.693684 
'OTHER OFFENSE','PAROLE VIOLATION',STREET,41.012665,-87.655282 
BATTERY,SIMPLE,RESTAURANT,41.843789,-87.689239 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.785017,-87.693227 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,42.87932,-87.705877 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,42.870212,-87.705287 
'PUBLIC PEACE VIOLATION','RECKLESS CONDUCT',STREET,41.927144,-87.662425 
BATTERY,'DOMESTIC BATTERY SIMPLE',STREET,41.867462,-87.647222 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.825962,-87.719866 
THEFT,'RETAIL THEFT','SMALL RETAIL STORE',41.899431,-87.755873 
'CRIMINAL DAMAGE','TO PROPERTY',APARTMENT,41.817155,-87.597245 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,42.873482,-87.704701 
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.879583,-87.759747 
'OTHER OFFENSE','VEHICLE TITLE/REG OFFENSE',STREET,41.90575,-87.668692 
THEFT,'RETAIL THEFT','GROCERY FOOD STORE',41.778614,-87.678115 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.892697,-87.677824 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.947449,-87.651779 
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.753982,-87.667653 
THEFT,'$500 AND UNDER',STREET,41.88306,-87.675438 
NARCOTICS,'POSS: CRACK','RESIDENCE PORCH/HALLWAY',41.845141,-87.719935
NARCOTICS,'POSS: CRACK',STREET,41.803667,-87.621417 
'OTHER OFFENSE','VIOLATE ORDER OF PROTECTION',STREET,41.806819,-87.625799 
BATTERY,SIMPLE,RESIDENCE,41.796487,-87.622008
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',ALLEY,41.867972,-87.604611
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.751767,-87.563418 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.8454,-87.632027 
NARCOTICS,'POSS: SYNTHETIC DRUGS','RESIDENCE PORCH/HALLWAY',41.885345,-87.713432  
THEFT,'$500 AND UNDER',RESIDENCE,41.92909,-87.636585 
THEFT,'RETAIL THEFT','SMALL RETAIL STORE',41.779277,-87.685601 
'OTHER OFFENSE','FALSE/STOLEN/ALTERED TRP',STREET,41.798506,-87.616985 
ASSAULT,SIMPLE,'RESIDENTIAL YARD (FRONT/BACK)',41.707792,-87.64286
NARCOTICS,'POSS: HALLUCINOGENS',STREET,41.996006,-87.6052652 
BATTERY,SIMPLE,SIDEWALK,41.807325,-87.73155
'LIQUOR LAW VIOLATION','LIQUOR LICENSE VIOLATION','CONVENIENCE STORE',41.907098,-87.645369 
'OTHER OFFENSE','GUN OFFENDER: ANNUAL REGISTRATION',STREET,41.99592,-87.66127 
'CRIMINAL DAMAGE','TO PROPERTY',APARTMENT,41.876099,-87.666952 
'DECEPTIVE PRACTICE','UNLAWFUL USE OF RECORDED SOUND',RESTAURANT,41.909414,-87.516942 
ASSAULT,'AGG PO HANDS NO/MIN INJURY',RESIDENCE,41.816947,-87.741245 
BATTERY,'DOMESTIC BATTERY SIMPLE',STREET,41.847995,-87.632099 
BATTERY,SIMPLE,APARTMENT,41.919766,-87.622236
'WEAPONS VIOLATION','UNLAWFUL USE HANDGUN',RESIDENCE,41.820,-87.693622
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS','CTA TRAIN',41.657165,-87.72144
'CRIMINAL TRESPASS','TO LAND','SMALL RETAIL STORE',41.801682,-87.625822 
THEFT,'RETAIL THEFT','GROCERY FOOD STORE',41.827776,-87.735324 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.757876,-87.559976
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.820198,-87.726377 
ASSAULT,'AGGRAVATED: HANDGUN',SIDEWALK,41.764632,-87.678312 
'OTHER OFFENSE','VIOLATE ORDER OF PROTECTION','RESIDENTIAL YARD (FRONT/BACK)',41.808364,-87.613199 
'CRIMINAL TRESPASS','TO LAND','SMALL RETAIL STORE',41.838341,-87.6327661 
'CRIMINAL TRESPASS','TO STATE SUP LAND','CTA STATION',41.740941,-87.654185 
NARCOTICS,'MANU/DELIVER: HEROIN (WHITE)',STREET,41.812314,-87.574592 
ASSAULT,SIMPLE,APARTMENT,41.846836,-87.705016 
NARCOTICS,'POSS: SYNTHETIC DRUGS',ALLEY,41.840157,-87.644919 
'CRIMINAL DAMAGE','TO PROPERTY',APARTMENT,41.872574,-87.705685 
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.823266,-87.685894 
'PUBLIC PEACE VIOLATION','RECKLESS CONDUCT','CTA BUS',41.79758,-87.62685
NARCOTICS,'POSS: SYNTHETIC DRUGS',SIDEWALK,41.871,-87.671626 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.821049,-87.663355 
